10944750	13450,13451
12028500	14533,18024
1206500	16808,27467,17458,4307,10404,10194
12154500	20476,17640,26394,20297
1620500	1195
4716750	29146,8511
4844000	5197
5654000	18672,10948
5735000	24977,8566,19893
5780000	29473,19113,14533,7648,19903
6061250	1370,15019,4169,6400,943,11897
6458500	16808,17458,39,15315,6820,15761
7860250	16808,17458,11679,4307,21865,10404
8170750	13464,24898,15761,3697,21548,39
8622000	14976,10810,11638
8861500	20021
8869250	11203
10224750	10480
10229250	14533,21593
10302500	12162
10546500	16808,17458,15315,39,6820,19328
1110750	29125,13883,16463
12015000	12431,26900
12173500	22607
12388250	23793
1971500	19113,4571,10329
2626250	11176
3963750	7943,11176,4949
434750	18611
5220750	21190
5254500	7417,20827
5948500	25770,21110,6820
6067750	24447
6571000	13430,8778
6849750	15159
6977000	16808,27467,17458,4307,10404,10194
7703750	2655,18075
8149250	18805,6199,27092,11679,13430,284
8757750	26288,23928,20386
9288000	27508
10696000	16276,26288,2260
11391250	6546,22244,27998,28031
1661750	22342,2610
1832000	12218,12410,21841,647,12287,2198
2771250	476,284
2852250	18942,4647
3001000	14902
3211250	6199,26006
3581250	17640,11679,10329,18024,15159,16540
4256500	7188,23515,4694
5034000	10584,12220,14261,18290,12610
5901250	4230
6257000	25770,21110,6820
6996000	18213,13754
9720000	8257,21485,13773,24922
10057000	14919
11362000	9609
11687000	27400
11847750	17747
12008000	3552
12215000	24341,5640,919,9829,23173
1969000	21567
2132250	743
3089500	13115
3552000	16808,17458,11679,4307,21865,10404
4770500	2655,27625,12220,13592,21899,14020
4809750	16463
7002750	7868,599,476
799000	178,1903
8102000	18213
8666500	28244
9035750	18697
9163000	18149
9244000	9806,14642,27779,22094
1046250	13554
10768750	14661
10927500	16808,13464,24898,15761,3697,14580
11046750	16808,13464,24898,15761,3697,5799
11339250	509
12027000	24334
1904750	26860,4648,24010,11324
1906000	21315
1909250	20516,6246
2138750	27600
2476250	21067
2874500	21092
2921750	2433,25272
317500	13971
3524750	4808,24001
3849750	23738
39750	27817,1224,4896
4184250	16126
4215750	8236
4956000	4452
5108000	4958
6874250	26754,12016,647,20648,17760,14806
8040000	16797,18275,17400,14902,8334,1916
9103250	5377
9344000	25511,25770,5097,21110
9420500	16808,27467,17458,4307,10404,10194
10095000	14261,7975,15831,17959,28752
10831750	16808,17458,11679,4307,21865,10404
11434750	19629,22339,18758
2078000	26608,14261,16944,26434,2227
3257000	11347
3590000	18153
3787750	13629
5898500	7637
591750	20466
6523250	28411
71250	8775
7367000	4683,11679,9111,4918,15584,16540
7687500	4208,24013,14603,16845,1916,3068
9811750	11926
10064500	24459,28466,26571
11340250	13118
11612500	24307
12065000	10999
2676250	27467
3035250	1591
3226500	2927,13888,6199,6548,15661,5185
371250	20943
42000	21815,25386,28180,29528
4994000	17060
5754500	3228,15019,24385,28752
7787500	29311
8649250	16305
887500	16808,13464,24898,15761,3697,39
9173750	17640,11679,10329,18024,15159,16540
9628250	27544
9706000	13888,18508,19026,16693,6740,13551
981000	26608,3457,14261
10054250	25770,21110
10619000	18653
1459750	25770,21110,6820
1966250	22547,29099
3054250	7495
3293750	14580
3952000	16420,13618,25372,4648,21844,23025
4850000	25420,175
4963500	11773
5082750	155
5906250	14261
5980500	17959
10393750	24541
11493000	20425
11894500	1420,7856,15138
12231250	21865
1446250	19993,2655,4683,2128,4078,15159
1985250	23116
3188000	14603
3520000	17055
364250	16808,17458,11679,15315,39,6820
38250	23262
4421250	22999
5959000	21426,13688,23793,17581,27448,27
6247250	17245,637,14261,10096,2227,2535
6564500	13079
7345250	23656,12040
7699500	16624,1831,19973,26754,14261,21847
83250	1461
10047250	25650
11142000	9620
1381000	27458
2428500	21869
380000	5620,12329
4102750	18712
4922750	15004,13409,24538,21297,5661,2000
5027500	10647
5769750	17868
5847500	7173
6619500	6771,25086,11465,5856,5680
7927750	19113,25372,16463
8129250	16836,27906
10018000	18849
10063000	16663
10257500	10893
10309250	15952,18996,8327,23656,8296,6498
10513000	16808,27467,17458,4307,10404,10194
11111500	9829
11321750	16624,1831,19973,26754,14261,21847
1148000	26429
11936000	8494
12337750	14490
1240250	18392,26288,7408
145750	5067
1517000	15019,16376,9574,9290,19514,15086
